"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"2C39jkUPAsQzwBSshsaCfX","Winter Ahead (with PARK HYO SHIN) : YUNSEOKCHEOL TRIO Ver.","V, Park Hyo Shin","17","-5","-9","TW","2025-01-08","71","False","224611","Winter Ahead (with PARK HYO SHIN) : YUNSEOKCHEOL TRIO Ver.","2024-12-20","0.489","0.266","3","-12.167","1","0.0317","0.904","1.07e-05","0.203","0.192","78.303","3"
"2CGNAOSuO1MEFCbBRgUzjd","luther (with sza)","Kendrick Lamar, SZA","18","2","-1","TW","2025-01-08","86","False","177598","GNX","2024-11-21","0.707","0.575","2","-7.546","1","0.125","0.251","0.0","0.248","0.576","138.008","4"
"0cOMncRq4cmDLO4tPQnkBF","擱淺","Jay Chou","19","31","31","TW","2025-01-08","63","False","238133","七里香","2004-08-03","0.499","0.5","5","-7.189","1","0.0276","0.687","0.000726","0.141","0.127","122.686","4"
"5sjnkOfTLCLNfkkchI2re2","UP - KARINA Solo","aespa","20","-3","-2","TW","2025-01-08","80","False","166640","SYNK : PARALLEL LINE - Special Digital Single","2024-10-09","0.777","0.781","6","-4.479","0","0.043","0.0137","2.77e-06","0.0466","0.382","98.97","4"
"1sl9O7VLwGwdw4iXqnkbDP","想念你想我","Eric Chou","21","-3","3","TW","2025-01-08","62","False","240461","Almost 幾乎是愛情","2024-11-26","0.463","0.482","9","-5.676","1","0.0265","0.655","0.0","0.256","0.416","139.842","4"
"6GyUt7yJ0sOktc5HjvVnFh","在加納共和國離婚","Firdhaus, DIOR 大穎","22","-1","8","TW","2025-01-08","66","False","261000","在加納共和國離婚","2023-08-14","0.415","0.381","7","-9.731","1","0.0516","0.859","0.0","0.129","0.241","116.053","4"
"1aKvZDoLGkNMxoRYgkckZG","Magnetic","ILLIT","23","-1","-1","TW","2025-01-08","83","False","160688","SUPER REAL ME","2024-03-25","0.797","0.668","6","-5.819","1","0.0687","0.257","0.0","0.0876","0.69","131.067","4"
"2HRgqmZQC0MC7GeNuDIXHN","Seven (feat. Latto) (Explicit Ver.)","Jung Kook, Latto","24","16","16","TW","2025-01-08","84","True","183550","GOLDEN","2023-11-03","0.79","0.831","11","-4.185","1","0.044","0.312","0.0","0.0797","0.872","124.987","4"
"3V2v19gDm4rmRkMwcgS4X2","有些","颜人中","25","5","10","TW","2025-01-08","65","False","229523","失眠症候群","2019-12-14","0.685","0.535","7","-7.53","1","0.0433","0.744","0.0","0.081","0.369","125.922","4"
"2VEt42QSQxILgEf9B50xxm","不是因為天氣晴朗才愛你","理想混蛋","26","5","5","TW","2025-01-08","62","False","240753","不是因為天氣晴朗才愛你","2018-08-06","0.507","0.271","8","-13.185","1","0.0347","0.753","1.23e-06","0.0883","0.399","135.783","4"
"5pIcwtJYNJx93l420oR2Vm","晴天","Jay Chou","27","23","23","TW","2025-01-08","63","False","269746","葉惠美","2003-07-29","0.544","0.564","7","-7.275","1","0.0242","0.225","0.000833","0.101","0.412","137.136","4"
"5HVq8nS0pbM6G7YK8M7DY4","愛情的大壞蛋","Amazing Show","28","4","-2","TW","2025-01-08","60","False","187266","Amazing Show同名專輯","2024-09-30","0.381","0.844","1","-4.236","0","0.053","0.00263","0.0","0.203","0.492","167.9","4"
"2VdSktBqFfkW7y6q5Ik4Z4","Supernova","aespa","29","-1","-2","TW","2025-01-08","71","False","178880","Armageddon - The 1st Album","2024-05-27","0.745","0.747","11","-4.278","0","0.0815","0.0073","1.69e-06","0.0738","0.363","120.073","4"
"2N0SPREDYqILVEFSsWF5N5","Love Me Again","V","30","-7","2","TW","2025-01-08","80","False","182293","Layover","2023-08-11","0.633","0.607","0","-6.182","0","0.0532","0.183","1.38e-06","0.167","0.363","74.029","4"
"4XsJiRJQAK8TWcZCn0Dxlh","POWER","G-DRAGON","31","-5","-8","TW","2025-01-08","75","False","143242","POWER","2024-10-31","0.607","0.857","2","-3.287","1","0.301","0.164","0.0","0.211","0.732","179.749","4"
"13bw75oRjvxMv9VGIeM32i","愛我還是他","David Tao","32","-8","13","TW","2025-01-08","62","False","292666","太平盛世","2005-08-01","0.465","0.391","11","-8.029","1","0.0304","0.758","0.0","0.112","0.152","133.025","4"
"2ASWo8MTESnHQhJhpMSPbF","能遇見，就很不錯了","Firdhaus","33","1","17","TW","2025-01-08","64","False","229655","能遇見，就很不錯了","2024-06-30","0.473","0.223","7","-9.585","1","0.0329","0.856","0.0","0.107","0.367","115.865","4"
"2CspwnypzT7rcWI9RfsoSb","Mantra","JENNIE","34","-7","-14","TW","2025-01-08","86","True","136627","Mantra","2024-10-10","0.894","0.725","10","-4.984","0","0.0432","0.00434","1.15e-05","0.0815","0.838","116.988","4"
"21LtZQQMQYwVIxc9O9Ygq8","Cherish (My Love)","ILLIT","35","-2","1","TW","2025-01-08","75","False","176854","Cherish (My Love) (Remixes)","2024-10-28","0.714","0.821","4","-3.835","1","0.065","0.236","0.0","0.164","0.303","142.97","4"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","36","0","7","TW","2025-01-08","96","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"6kyH1z6IdLo1GH3EcZXHMa","小孩","罗森涛","37","-8","-8","TW","2025-01-08","63","False","219865","为何离开","2024-09-06","0.859","0.326","1","-8.317","1","0.0602","0.766","0.0","0.196","0.379","124.097","3"
"2HRqTpkrJO5ggZyyK6NPWz","Espresso","Sabrina Carpenter","38","3","6","TW","2025-01-08","89","True","175459","Short n' Sweet","2024-08-23","0.699","0.776","0","-5.282","1","0.0293","0.131","5.36e-06","0.205","0.708","103.963","4"
